SPMCODE	SECTION	TAXA-Current_determination	LOOK-UP_Authors	ID.modifier	LOOK-UP_WCM-ID	LOOK-UP_Accepted name	LOOK-UP Parent Name	Determined_by	Determined_date	determination_reasoning_notes	Lab_receiving_material	Received_Materials	Type_of_material	Date_received	Institution_Person_sending_material	Ownership_of_Sequence	TAXA.received.as_piped_add_dets	Original_Tube_No	Accession_Num_Voucher	voucher_location	Collectors	Collector_no	TDWG	Country	State_Province_Region_territory	substate	substate rank	Site	habitat	associates	plant-attributes	latitute	longitude	datum	elevation	elevation_source	coordinates_source	photos	Original_project		Specimen_Notes	Imaged	Use_in_NSF-CAREX-1255901_Project	Database_Notes	SPM.EXCLUDE	SPM.DATE.EXCLUSION	SPM.EXCLUSION.NOTES	SEQUENCE_NAME	PERMISSION_TO_USE	temp-sn don't need to check	Include2019GlobalCarex	tipLabels2019	NCBI_geo_loc_name	ETS_NCBI_ACCESSION	ITS_NCBI_ACCESSION	matK_NCBI_ACCESSION	Projects_IncompleteList	SEQUENCED
spm00000249		Carex breedlovei	#N/A	sp. nov ined	#N/A	#N/A	#N/A	Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex "breedlonei" sp. nov ined (section Feandae)	NA	MICH.1132433	MICH	S. Gonzalez & AA Reznicek, w/ M. Gonzalaz, M.Pinedo	10478	MXT	Mexico	Chiapas			Mpio, Tenejapa: Ca. ; 2km (air) NE of Tenejapa, along small road off the tenejapa-Kulak' tik Road.	Wet, bare soil of roadshide bank.		Single large clump				2100m					Carex breedlovei	number listed for accession # is num on barcode.	no	1								TRUE	Carex_breedlovei|MXT|spm00000249	Mexico: Chiapas	MN760977	MN762091	MN763222	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000250		Carex boliviensis subsp. occidentalis	Reznicek & S.González		urn:kew.org:wcs:taxon:225014	accepted		Anton Reznicek			MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex boliviensis subsp. occidentalis	NA	MICH.1132407	MICH	S. Gonzalez	5163	MXE	Mexico	Durango	El Mezquital	Municipio	16 km de La Ventana, por el camino a Charcos-Sta. Ma. De Ocotan							2490m					Carex boliviensis subsp. occidentalis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_boliviensis_ssp_occidentalis|MXE|spm00000250	Mexico: Durango, El Mezquital Municipio	MN760567	MN761621		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000251		Carex chordalis	Liebm.		urn:kew.org:wcs:taxon:225518	not accepted	Carex jamesonii var. gracilis				MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex chordata|Carex chordalis	NA	MICH.1132491	MICH	S. Gonzalez & AA Reznicek w/ M. Pinedo	10550	MXC	Mexico	Morelos			Mpio. Huitzilac: Parque Nacional Lagunas de Zempoala, ca 1 km above Lago de Zempoala												Carex chordalis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_chordalis|MXC|spm00000251	Mexico: Morelos	MN761070	MN762558	MN763114	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000252		Carex bartlettii	O'Neill		urn:kew.org:wcs:taxon:224881	not accepted	Carex polystachya var. bartlettii				MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex bartlettii	Carex_MOR_214	MICH.1132398	MICH	Stanley D. Jones & Royce Oliver	10606	BLZ	Belize		Cayo	District	36.3 mi NW on the Hummingbird Hwy from Dangriga towards Belmopan.; foothills of the Maya Mtns., dolomite												Carex bartlettii	number listed for accession # is num on barcode.	no	1								FALSE		Belize
spm00000253		Carex aztecica	Mack.	aff.	urn:kew.org:wcs:taxon:224830	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex aff. aztecica	NA	MICH.1132380	MICH	S. Gonzalez & AA Reznicek w/ M. Gonzalez, M. Pinedo	10794	MXG	Mexico	Veracruz			Mpio. Acultzingo: Cumbres de Acultzingo, near Puerto del Aire, SW of Acultzingo (km 28.5) on road to Tehuacan												Carex aztecica	number listed for accession # is num on barcode.	no	1								TRUE	Carex_aztecica|MXG|spm00000253	Mexico: Veracruz	MN759929	MN761531		Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000254		Carex aztecica	Mack.		urn:kew.org:wcs:taxon:224830	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex aztecica	NA	MICH.1132382	MICH	W.R. Anderson, M.W. Chase, and A.A. Reznicek	13061	MXS	Mexico	Oaxaca			18 km NE of Hwy 190 on road to Guelatao (Hwy 175)												Carex aztecica	number listed for accession # is num on barcode.	no	1								TRUE	Carex_aztecica|MXS|spm00000254	Mexico: Oaxaca	MN759930	MN761472	MN763537	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000255		Carex boliviensis subsp. boliviensis	0		urn:kew.org:wcs:taxon:225013	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex boliviensis	NA	MICH.1132410	MICH	P.F. Zika	15389	MXC	Mexico	Mexico			3.2 road km N of Paso de Cortes, S slope of Volcan Ixtaccihuatl												Carex boliviensis	number listed for accession # is num on barcode.	no	1								TRUE	Carex_boliviensis_ssp_boliviensis|MXC|spm00000255	Mexico: Mexico	MN760564	MN761620	MN763561	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000256		Carex atractodes	F.J.Herm.		urn:kew.org:wcs:taxon:224722	accepted		Robert F.C. Naczi	2000		MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex atractodes	NA	MICH.1132374	MICH	S. Zamudio and E. Carranza		MXE	Mexico	San Luis Potosi	Xilitla		Centro Regional del Bajio; Llano del Conejo, municipio de Xilitla												Carex atractodes	number listed for accession # is num on barcode.	no	1								TRUE	Carex_atractodes|MXE|spm00000256	Mexico: San Luis Potosi, Xilitla 	MN759814	MN761438	MN763555	Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000257		Carex asynchrona	Naczi		urn:kew.org:wcs:taxon:224698	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex asynchrona	NA	MICH.1216176	MICH	AA Reznicek w/ S. Zamudio, G. Ocampo	11067	MXE	Mexico	Queretaro			Mpio. Landa de Matamoras: Llano Chiquito, southern portion	Moist ravine in Quercus-Pinus forest at edge of Llano.		Scarce in one small area, perigynia all shed.				2200m					Carex asynchrona	number listed for accession # is num on barcode.	no	1								TRUE	Carex_asynchrona|MXE|spm00000257	Mexico: Queretaro	MN761207			Global biogeography of Carex (Martin-Bravo et al.)	yes
spm00000258		Carex anisostachys	Liebm.		urn:kew.org:wcs:taxon:224506	accepted					MOR	yes	herbarium leaf tissue	5/1/2013	Anton Reznicek (MICH)	REZNICEK	Carex anisostachys	NA	MICH.1132344	MICH	S. Gonzalez & A.A. Reznicek w/ M. Gonzalez & M. Pinedo	10784	MXT	Mexico	Chiapas			Mpio, Zinacantan: Ca. 1 km from Zinacantan along road between Zinacantan and Salina												Carex anisostachys	number listed for accession # is num on barcode.	no	1								TRUE	Carex_anisostachys|MXT|spm00000258	Mexico: Chiapas	MN760767	MN761821	MN763090	Global biogeography of Carex (Martin-Bravo et al.)	yes
